time, AirTemp,RelHum,WindSpeed,Rain,Cloud,ShortWave,Snow
2008-04-01,11.536,69.01,2.884,0.001236,0.733875,189.6678241,0
2008-04-02,10.507,100,5.054,0.004256,1.246875,122.6863426,0
2008-04-03,4.212,45.36,1.242,0.001998,0.49275,54.56250002,0
2008-04-04,7.92,99.6,2.88,0,0.96,114.4444444,0
2008-04-05,5.427,68.04,2.187,0.00324,0.66825,44.25,0
2008-04-06,8.5,100,4.25,0.00017,1.3175,137.7314815,0
2008-04-07,6.56,100,3.444,0.001968,1.312,148.2453704,0
2008-04-08,9.828,100,6.426,0.000189,1.204875,348.90625,0
2008-04-09,7.08,100,4.956,0.015399,1.747875,68.42361112,0
2008-04-10,5.16,100,3.87,0.000129,1.29,41.80555556,0
2008-04-11,11.623,100,6.107,0.034081,1.97,80.48726852,0
2008-04-12,9.775,85.1,4.14,0,0.89125,210.167824,0
2008-04-13,14.553,100,3.234,0.007203,0.99225,250.7847223,0
2008-04-14,7.2,58.32,1.656,0.00468,0.621,110.75,0
2008-04-15,12,100,4.16,0.0064,1.58,-185,0
2008-04-16,9.867,100,4.433,0.00429,1.269125,233.3680555,0
2008-04-17,5.115,84.63,2.604,0.007719,0.895125,31.32291667,0
2008-04-18,9.639,100,4.743,0,1.434375,118.6458333,0
2008-04-19,6.336,72.27,3.861,0,0.581625,166.71875,0
2008-04-20,11.704,95.76,3.458,0,0.914375,246.2962963,0
2008-04-21,8.136,44.64,3.6,0,0.216,185.8333334,0
2008-04-22,17.901,85.68,7.956,0,0.57375,376.3020834,0
2008-04-23,10.881,50.22,2.232,0,0.267375,243.15625,0
2008-04-24,12.61,50.44,1.649,0.000679,0.109125,254.625,0
2008-04-25,5.876,38.48,1.456,0,0.4095,75.23148147,0
2008-04-26,11.011,59.15,1.729,0,0.238875,263.5208333,0
2008-04-27,27.93,100,4.37,0,0.97375,502.2685186,0
2008-04-28,12.312,30.96,3.816,0,0.378,200.3333333,0
2008-04-29,14.82,56.05,3.8,0.00038,0.866875,97.85879634,0
2008-04-30,8.232,40.32,1.456,0,0.455,96.83333335,0
2008-05-01,16.9,93.6,3.77,0.00234,0.79625,211.550926,0
2008-05-02,16.82,100,3.045,0.00029,0.61625,289.6643518,0
2008-05-03,24.892,100,4.312,0.000196,0.8085,485.462963,0
2008-05-04,18.228,95.55,3.528,0.000588,0.62475,396.4236111,0
2008-05-05,25.896,100,4.648,0,0.80925,359.474537,0
2008-05-06,12.324,42.9,1.56,0,0.195,232.9166667,0
2008-05-07,14.863,48.95,1.602,0,0.2225,269.5752315,0
2008-05-08,31.265,99.9,3.515,0,0.185,-213.90625,0
2008-05-09,10.266,29.5,1.593,0,0.022125,186.0138889,0
2008-05-10,26.455,68.64,3.146,0,0.17875,409.6354166,0
2008-05-11,12.285,30.55,1.17,0,0.08125,181.9849537,0
2008-05-12,24.235,66.81,2.489,0,0.180125,417.5625,0
2008-05-13,8.928,40.92,2.232,0,0.27125,165.9791666,0
2008-05-14,24.48,84.8,3.68,0,0.42,448.5185186,0
2008-05-15,29.232,87.36,3.528,0,0.672,413.1944445,0
2008-05-16,14.833,65.52,1.638,0.000273,0.716625,142.6087963,0
2008-05-17,27.209,100,3.38,0.008619,1.39425,280.1018518,0
2008-05-18,12.463,76.22,2.781,0,0.939875,183.46875,0
2008-05-19,10.856,56.12,1.932,0,0.667,190.9212963,0
2008-05-20,15.093,63.18,3.042,0,0.585,316.0625,0
2008-05-21,19.932,81.54,4.53,0,0.906,331.5358797,0
2008-05-22,11.52,46.4,2,0.00008,0.4,218.6111111,0
2008-05-23,26.235,92.4,4.785,0,1.32,324.6527778,0
2008-05-24,25.584,91.84,5.248,0,0.7175,460.8703703,0
2008-05-25,15.456,54.72,3.648,0,0.528,287.8888889,0
2008-05-26,13.351,51.35,3.239,0,0.582625,112.4652778,0
2008-05-27,26.7,100,6.586,0,1.5575,-205.8125,0
2008-05-28,36.4,90,12.6,0,1.55,583.7962962,0
2008-05-29,20.196,38.76,5.304,0,0.80325,295.9652777,0
2008-05-30,38.59,78.2,7.65,0,0.34,516.2962963,0
2008-05-31,44.793,85.05,6.804,0,0.189,590.1875,0
2008-06-01,19.992,35.28,2.856,0,0.105,248.7916667,0
2008-06-02,36.179,51.48,5.434,0,0.143,482.9560185,0
2008-06-03,38.532,68.64,5.304,0,0.975,401.3750001,0
2008-06-04,38.485,82.34,7.339,0,0.895,587.1365741,0
2008-06-05,38.986,88.78,7.913,0,0.2895,624.5694444,0
2008-06-06,22.644,53.28,3.885,0,0.485625,284.5659722,0
2008-06-07,37.001,65.2,5.542,0,0.753875,404.6701389,0
2008-06-08,40.002,72.57,4.779,0,0.287625,553.9444445,0
2008-06-09,19.178,36.98,1.892,0,0.13975,304.7824074,0
2008-06-10,39.13,94.64,7.098,0,0.5005,621.4120371,0
2008-06-11,18.306,64.41,5.198,0,0.59325,232.6701389,0
2008-06-12,29.304,100,8.118,0.010296,1.3365,454.4375,0
2008-06-13,14.224,88.48,3.472,0.006832,0.812,162.4259259,0
2008-06-14,14.448,77.28,4.144,0,0.714,244.3518519,0
2008-06-15,21.432,100,4.104,0.000608,1.121,327.5740741,0
2008-06-16,20.02,91,2.66,0,0.77,296.6898148,0
2008-06-17,18.252,66.69,2.34,0,0.219375,402.3229166,0
2008-06-18,21.696,55.37,2.825,0,0.6215,273.8680555,0
2008-06-19,36.192,93.96,6.612,0.009918,1.479,394.5208333,0
2008-06-20,16.928,56.12,3.772,0,0.713,253.7453704,0
2008-06-21,17.622,59.4,2.871,0,0.71775,249.3333334,0
2008-06-22,38.532,100,6.76,0.01521,1.119625,506.2175925,0
2008-06-23,28.608,93.87,8.344,0,0.5215,514.9467593,0
2008-06-24,27.853,95.15,5.19,0,0.281125,611.5069444,0
2008-06-25,16.32,52.7,2.72,0.00068,0.626875,158.4895833,0
2008-06-26,34.104,94.08,6.72,0,0.42,562.7222222,0
2008-06-27,18.297,70.62,4.922,0.000535,0.655375,143.2858796,0
2008-06-28,11.088,52.14,2.508,0.001188,0.51975,77.07638888,0
2008-06-29,25.326,84.42,3.402,0,0.48825,375.6666666,0
2008-06-30,14.43,41.44,2.516,0,0.2775,227.5671296,0
2008-07-01,18.334,45.39,1.691,0,0.278125,264.1157408,0
2008-07-02,43.61,69.42,7.12,0,0.178,603.6342593,0
2008-07-03,41.652,62.4,5.46,0,0.4485,501.0416667,0
2008-07-04,17.745,94.5,5.46,0.01533,1.05,22.72569445,0
2008-07-05,31.02,100,4.95,0,1.03125,433.5069445,0
2008-07-06,18.618,52.2,2.088,0.000957,0.663375,202.7986112,0
2008-07-07,12.87,42.9,2.442,0,0.55275,141.7013889,0
2008-07-08,25.926,100,7.599,0.002533,1.061625,335.4224536,0
2008-07-09,24.016,100,7.448,0.002584,1.159,347.2777777,0
2008-07-10,30.481,100,4.488,0.003366,1.566125,156.6990741,0
2008-07-11,38.976,100,5.76,0.012864,1.536,349.3333332,0
2008-07-12,26.331,86.46,5.895,0,1.031625,315.9768518,0
2008-07-13,10.854,54.27,0.938,0.000134,0.51925,55.05787037,0
2008-07-14,24.928,100,4.256,0,0.95,291.3333334,0
2008-07-15,15.826,55.76,3.116,0,0.738,128.125,0
2008-07-16,30.798,100,7.656,0.006264,1.5225,198.7708333,0
2008-07-17,8.216,37.96,1.716,0.000312,0.3965,110.1990741,0
2008-07-18,22.308,96.36,3.96,0.002904,1.221,144.0694444,0
2008-07-19,32.037,100,7.059,0.001991,1.199125,329.9479167,0
2008-07-20,19.2,92.4,5.52,0.00204,0.78,248.8888889,0
2008-07-21,21.28,100,8.36,0,1.235,175.75,0
2008-07-22,10.744,50.32,1.292,0,0.4845,117.2685185,0
2008-07-23,24.797,95.9,3.288,0,0.4795,-158.40625,0
2008-07-24,36.312,100,6.052,0,1.0235,459.6273148,0
2008-07-25,34.506,88.04,4.97,0,0.44375,367.6550925,0
2008-07-26,44.88,100,4.752,0.000528,0.462,421.2592593,0
2008-07-27,34.846,63.84,4.123,0,0.09975,416.7025463,0
2008-07-28,18.55,32.2,2.03,0,0.0875,216.2384259,0
2008-07-29,27.664,39.52,3.744,0,0.273,321.0277778,0
2008-07-30,28.644,63.24,2.976,0,0.8835,122.5648148,0
2008-07-31,13.53,22.55,1.65,0,0.06875,163.599537,0
2008-08-01,40.145,74.4,5.58,0.014725,0.639375,362.5636574,0
2008-08-02,33.034,100,3.984,0,1.30725,215.9537037,0
2008-08-03,28.122,81.27,5.805,0,0.9675,-149.15625,0
2008-08-04,36.4,100,14.014,0.003276,1.1375,344.6203705,0
2008-08-05,33.473,100,11.993,0,0.962125,363.8009259,0
2008-08-06,36.465,100,4.114,0,0.88825,365.3425926,0
2008-08-07,50.115,89.7,8.58,0,0.6825,550.0173611,0
2008-08-08,35.404,100,8.684,0.001336,1.04375,306.3599537,0
2008-08-09,9.234,34.56,2.592,0,0.2565,124.375,0
2008-08-10,13.77,63.99,2.592,0.002997,0.658125,77.625,0
2008-08-11,16.48,54.4,2.08,0.00232,0.58,184.1666666,0
2008-08-12,26.082,98.28,5.166,0.000126,1.14975,139.125,0
2008-08-13,20.425,52.25,6.175,0.000285,0.40375,212.4305555,0
2008-08-14,37.014,93,9.3,0,0.81375,471.0277777,0
2008-08-15,20.824,100,2.192,0.009453,1.3015,58.51041666,0
2008-08-16,13.26,69.7,1.7,0.00034,0.584375,143.2407407,0
2008-08-17,15.136,63.64,1.72,0.000086,0.5375,207.7337963,0
2008-08-18,15.12,59.64,1.932,0.001764,0.5985,113.75,0
2008-08-19,37.625,100,7.525,0,1.290625,300.1736112,0
2008-08-20,9.984,36.92,2.34,0.000104,0.3315,85.76388891,0
2008-08-21,35.502,100,8.235,0,0.983625,406.03125,0
2008-08-22,17.563,63.7,2.093,0.003549,0.784875,112.2754629,0
2008-08-23,10.304,48,3.84,0.002624,0.384,96,0
2008-08-24,26.931,100,7.831,0.014707,1.6235,64.99305556,0
2008-08-25,32.4,100,5,0,1.35,221.2962962,0
2008-08-26,11.718,47.25,2.205,0,0.48825,104.125,0
2008-08-27,37.054,100,6.876,0,1.337,329.6076388,0
2008-08-28,29.216,100,7.304,0.001328,1.51475,147.7476852,0
2008-08-29,14.337,64.8,3.645,0.000081,0.6075,76.3125,0
2008-08-30,13.776,55.76,1.066,0,0.11275,160.2037037,0
2008-08-31,17.205,52.08,3.069,0,0.2325,222.8125,0
2008-09-01,19.845,72.45,3.99,0.00294,0.774375,161.1458333,0
2008-09-02,21.432,79.8,3.42,0,0.78375,234.5972222,0
2008-09-03,15.486,65.25,3.567,0.009396,0.71775,108.4479167,0
2008-09-04,28.712,100,6.596,0.000194,1.13975,316.8217593,0
2008-09-05,23.944,100,4.088,0,1.11325,193.8217592,0
2008-09-06,11.11,42.9,1.65,0.008745,0.5225,39.02199074,0
2008-09-07,18.55,89.04,3.074,0.000106,0.94075,107.962963,0
2008-09-08,15.698,71.44,2.914,0,0.4465,132.5138889,0
2008-09-09,24.99,100,2.793,0,0.238875,275.9652778,0
2008-09-10,18.513,71.28,2.277,0,0.51975,137.84375,0
2008-09-11,19.332,82.08,2.16,0,0.54,157.125,0
2008-09-12,21.666,100,6.28,0,0.90275,182.6215277,0
2008-09-13,11.97,67.2,3.78,0,0.4725,183.3854167,0
2008-09-14,7.345,46.8,1.82,0,0.560625,37.61574074,0
2008-09-15,6.765,36.3,1.705,0,0.446875,49.97106481,0
2008-09-16,5.684,37.12,1.508,0,0.464,59.14120371,0
2008-09-17,11.172,61.74,1.666,0,0.8085,131.0069445,0
2008-09-18,10.764,69.92,1.472,0,0.805,98.17592596,0
2008-09-19,17.052,100,2.793,0,1.267875,118.7569444,0
2008-09-20,18.375,100,3.087,0.000735,1.323,131.5173611,0
2008-09-21,13.23,82.95,2.415,0.00063,0.81375,113.5069445,0
2008-09-22,17.667,100,3.171,0.004983,1.32125,127.056713,0
2008-09-23,8.211,63.48,1.587,0.003864,0.6555,-79.78125,0
2008-09-24,16.74,93,3.844,0,0.6975,165.3333333,0
2008-09-25,23.31,100,5.18,0,0.393125,243.2407408,0
2008-09-26,14.616,100,2.142,0,0.4725,189,0
2008-09-27,17.024,100,2.888,0,0.646,249.287037,0
2008-09-28,23.79,100,5.07,0,0.755625,309.6527778,0
2008-09-29,8.142,53.13,2.415,0.000483,0.56925,-79.78125,0
2008-09-30,10.494,86.13,5.841,0.005544,0.928125,61.41666667,0
2008-10-01,10.235,76.54,6.23,0.016732,0.700875,41.40972222,0
2008-10-02,12.876,76.56,8.12,0,0.4205,131.7083334,0
2008-10-03,11.352,100,5.28,0,0.495,127.1111111,0
2008-10-04,9.035,100,4.309,0,0.434375,127.8993056,0
2008-10-05,8.178,78.02,5.076,0.006768,0.7285,47.54398148,0
2008-10-06,9.66,75.6,1.176,0.000084,0.8085,28.97222222,0
2008-10-07,24.625,100,4.925,0,1.03425,201.332176,0
2008-10-08,9.976,74.82,2.494,0,0.473,-99.4375,0
2008-10-09,10.672,84.64,1.288,0.001012,0.6325,28.85648148,0
2008-10-10,8.502,63.18,1.56,0,0.39,87.93055557,0
2008-10-11,16.51,100,2.667,0,0.206375,167.5694444,0
2008-10-12,11.752,93.6,1.872,0,0.559,67.76851852,0
2008-10-13,13.91,88.81,2.033,0.000642,0.29425,132.2638889,0
2008-10-14,20.155,100,3.614,0,1.059875,78.99189814,0
2008-10-15,7.15,44.55,1.485,0.001815,0.474375,31.00115741,0
2008-10-16,17.784,100,8.892,0.003432,1.2675,106.5277778,0
2008-10-17,13.674,100,10.335,0,0.854625,81.52430556,0
2008-10-18,6.351,58.4,2.409,0,0.410625,69.78935185,0
2008-10-19,13.64,93,6.324,0,1.0695,84.53240741,0
2008-10-20,6.552,38.64,2.016,0,0.245,65.85185186,0
2008-10-21,14.688,86.4,5.076,0.001728,0.594,92.875,0
2008-10-22,16.878,100,4.35,0,1.74,57.59722222,0
2008-10-23,14.616,100,5.568,0,0.435,170.1736111,0
2008-10-24,6.396,55.76,2.378,0,0.19475,88.5486111,0
2008-10-25,6.882,62.9,1.554,0,0.6105,20.55555556,0
2008-10-26,11.88,76.68,4.968,0.004536,0.783,66,0
2008-10-27,6.565,57.85,2.275,0.00325,0.60125,9.554398146,0
2008-10-28,11.27,100,4.186,0.001771,1.32825,87.58101852,0
2008-10-29,11.264,100,2.464,0.02376,1.65,36.25925926,0
2008-10-30,5.838,100,4.726,0.021962,1.35525,18.01851851,0
2008-10-31,3.9,62.25,1.65,0,0.628125,51.99652778,0
2008-11-01,4.425,62.25,2.025,0,0.496875,43.31597222,0
2008-11-02,4.484,69.92,1.596,0,0.6175,28.5,0
