date,depth,temp,do [mg/l],nitrate [mg/l],opo4 [mg/l]
39664,2,24.86,653.125,189.3571428,0
39664,3,33.674,884.6875,254.3642857,0
39664,4,23.052,599.25,174.8571428,0
39664,5,38.194,1003.4375,289.7142857,0
39664,6,24.525,619.9375,185.3,0
39664,7,31.2,262.5,249.6428571,0
39664,8,18.2,37.5,152.1428571,0
39664,9,19.035,33.75,161.0357143,0
39664,10,5.814,9.5625,58.28571429,0
39664,11,14.628,25.875,159.6857143,0
39664,12,18,33.75,190.2857143,0
39664,13,10.878,20.8125,107.8285714,0
39664,14,18.914,36.1875,175.0785714,0
39678,0.5,24.875,687.5,193.75,0
39678,1,13.8,379.5,106.95,0
39678,2,14.2,390.5,110.05,0
39678,3,14.4,396,112.6285714,0
39678,4,29.2,857.75,226.3,0
39678,5,32.6,896.5,253.8142857,0
39678,6,37.8,1039.5,295.6499999,0
39678,7,14.6,392.375,114.7142857,0
39678,8,27.918,643.3125,262.8642857,0
39678,9,34.2,261.25,257.8571428,0
39678,10,31.164,61.25,197.4,0
39678,11,11.102,17.0625,83.2,0.322903226
39678,12,12.84,22.5,83.14285715,0.387096774
39678,13,8.239,14.4375,52.8,0.248387097
39678,14,19.548,56.5625,117.65,0.759032259
39692,0.5,21.146,715.3125,166.6142858,0
39692,1,33.345,1132.875,267.4928571,0
39692,2,28.86,971.25,231.5142857,0
39692,3,38.606,1281.0625,311.2928571,0
39692,4,12.804,420.75,103.2428571,0
39692,5,27.354,881.25,219.5571428,0
39692,6,25.414,810.5625,203.05,0
39692,7,15.714,506.25,125.55,0
39692,8,24.897,741.75,196.2642857,0
39692,9,34.965,850.5,263.25,0
39692,10,15.352,138.875,114.7071429,0
39692,11,23.205,109.6875,156,0
39692,12,10.593,49.5,72.83571428,0
39692,13,6.222,30.5,33.98571428,0
39692,14,5.712,56,30,0
39708,0.5,17.201,540.75,156.7071428,0
39708,1,28.728,897.75,261.3857144,0
39708,2,10.248,324.0625,93.24285717,0
39708,3,13.104,409.5,119.7857143,0
39708,4,30.072,928.5625,278.7285714,0
39708,5,26.208,809.25,241.8,0
39708,6,31.92,985.625,294.5,0
39708,7,26.026,789.25,241.9999999,0
39708,8,17.238,522.75,161.7428572,0.394838709
39708,9,11.088,334.125,105.6,0
39708,10,9.018,259.875,83.7,0
39708,11,28.65,226.8125,177.3571429,0
39708,12,19.584,229.5,7.65,0.542903226
39708,13,14.625,164.0625,49.10714286,0
39708,14,6.844,66.375,23.17857143,0
39734,0.5,14.52,660,176.7857143,0
39734,1,7.92,360,97.28571426,0
39734,2,20.988,954,257.8071428,0
39734,3,19.8,909.375,243.2142857,0
39734,4,13.86,630,171,0
39734,5,25.212,1146,311.0571429,0
39734,6,6.6,300,81.42857145,0
39734,7,24.684,1122,304.5428572,0.723870967
39734,8,11.616,522.5,141.4285714,0.340645161
39734,9,10.087,452.375,122.65,0.273225807
39734,10,14.541,666,176.0142857,0.465483871
39734,11,13.3,831.25,223,0.677419355
39734,12,16.113,730.3125,194.1642858,0.515806452
39734,13,19.519,903.3125,236.2714286,0.62483871
39734,14,16.25,703.125,191.9642858,0.64516129
39762,0.5,5.15,281.25,92.85714285,0.20967742
39762,1,NaN,NaN,NaN,NaN
39762,2,NaN,NaN,NaN,NaN
39762,3,NaN,NaN,NaN,NaN
39762,4,NaN,NaN,NaN,NaN
39762,5,NaN,NaN,NaN,NaN
39762,6,NaN,NaN,NaN,NaN
39762,7,NaN,NaN,NaN,NaN
39762,8,NaN,NaN,NaN,NaN
39762,9,NaN,NaN,NaN,NaN
39762,10,NaN,NaN,NaN,NaN
39762,11,NaN,NaN,NaN,NaN
39762,12,NaN,NaN,NaN,NaN
39762,13,NaN,NaN,NaN,NaN
39762,14,NaN,NaN,NaN,NaN
39790,0.5,5.856,815.875,226.5714286,1.53483871
39790,1,NaN,NaN,NaN,NaN
39790,2,NaN,NaN,NaN,NaN
39790,3,NaN,NaN,NaN,NaN
39790,4,NaN,NaN,NaN,NaN
39790,5,NaN,NaN,NaN,NaN
39790,6,NaN,NaN,NaN,NaN
39790,7,NaN,NaN,NaN,NaN
39790,8,NaN,NaN,NaN,NaN
39790,9,NaN,NaN,NaN,NaN
39790,10,NaN,NaN,NaN,NaN
39790,11,NaN,NaN,NaN,NaN
39790,12,NaN,NaN,NaN,NaN
39790,13,NaN,NaN,NaN,NaN
39790,14,NaN,NaN,NaN,NaN
