date,depth,temp,do [mg/l],nitrate [mg/l],opo4 [mg/l]
39581,0.5,19.656,675,207.5142857,0
39581,1,24.206,831.25,249.8500001,0
39581,2,23.114,793.75,240.3928572,0
39581,3,25.662,872.4375,269.9142857,0
39581,4,13.612,503.1875,167.7785714,0
39581,5,24.436,953.25,320.9714285,0
39581,6,9.039,366.5625,131.5928571,0
39581,7,7.021,291.3125,107.0428571,0
39581,8,14.256,675,258.1714286,0.464516129
39581,9,18.032,851,328.5714286,0.652903226
39581,10,10.998,585,212.2714285,0
39581,11,16.647,660.0625,281.2857142,0.981612904
39581,12,18.135,633.75,292.5,1.320967742
39581,13,17.572,584.9375,275.5857143,1.478709677
39581,14,11.648,160,128,2.064516129
39594,0.5,12.558,431.25,132.5785714,0
39594,1,30.34,973.75,265.9142856,0
39594,2,14.76,507.375,134.1285715,0
39594,3,32.93,1121.5625,313.1785715,0
39594,4,13.452,446.5,131.9142857,0
39594,5,24.596,759.6875,263.5285714,0
39594,6,17.92,504,208.8,0
39594,7,13.534,397.6875,182.5214286,0.358387097
39594,8,19.205,647.125,287.4785714,0.700322581
39594,9,12.177,484.3125,202.95,0.793548387
39594,10,5.734,232.5625,97.6,0.334516129
39594,11,17.763,656.5625,287.8642857,1.417096774
39594,12,18.124,467.875,240.6214285,2.224193548
39594,13,15.18,268.125,167.3571428,2.182258064
39594,14,11.011,151.25,108.0357143,1.717419355
39608,0.5,27.776,848,213.0285714,0
39608,1,34.503,1073.25,263.4857143,0
39608,2,17.577,546.75,135.3857143,0
39608,3,22.68,661.5,187.4571429,0
39608,4,35.7,1051.875,293.8571429,0
39608,5,31.464,855,266,0
39608,6,20.24,433.125,194.0714285,0
39608,7,20.988,379.5,231.9428571,0
39608,8,10.96,170,130.2857143,0
39608,9,5.9,100,76.7857143,0
39608,10,16.6,290.5,198.0142857,1.178064516
39608,11,5.94,97.5,67.28571426,0.561290323
39608,12,13.344,121.625,117.1571429,1.703870968
39608,13,12.672,107.25,108.4285714,1.660645161
39608,14,15.675,82.5,104.8928571,2.182258064
39622,0.5,35.952,1092,272.3999999,0
39622,1,27.82,853.125,210.7857142,0
39622,2,22.898,695.5,173.4928571,0
39622,3,29.746,903.5,227.3642858,0
39622,4,33.99,907.5,276.9642858,0
39622,5,33.005,865.375,271.4,0
39622,6,21.679,157.9375,220.4,0
39622,7,8.352,32.625,91.14285712,0
39622,8,20.878,82.125,229.4285714,0
39622,9,12.7,37.5,145.7142857,0
39622,10,9.047,46.6875,107.3071429,0
39622,11,19.796,85.75,214.2,0
39622,12,14.55,28.125,130.7142857,0.532258065
39622,13,9.312,18,83.65714285,0.340645162
39622,14,12.54,24.75,108.4285714,0.553548387
39650,0.5,24.8,705.25,210.8,0
39650,1,32.039,905.625,273.7,0
39650,2,31.641,894.375,270.3,0
39650,3,21.492,607.5,182.8285714,0
39650,4,32.039,905.625,274.85,0
39650,5,31.044,867.75,266.3142857,0
39650,6,12.338,344.875,106.7285714,0.2
39650,7,10.746,300.375,91.41428572,0
39650,8,23.424,671,203.9142857,0
39650,9,19.04,61.25,189,0
39650,10,7.458,28.875,84.85714288,0.212903226
39650,11,11.655,48.5625,143.5071429,0.393870968
39650,12,5.7,32.0625,66.77142855,0.294193548
39650,13,13.959,88.125,141,1.182580645
39650,14,14.208,92.5,152.2285715,1.145806451
39664,0.5,38.42,998.75,286.5714286,0
39664,1,34.578,908.4375,264.4714286,0
